EmployeeID,Age,Department,Gender,Education,YearsAtCompany,PerformanceScore,MonthlyIncome,JobSatisfaction,TrainingHours,CompetencyScore
211,59,Engineering,Male,High School,18,2,572,4,97,3
212,38,Engineering,Male,Master,,4,13307,4,50,3
213,21,Operations,Female,Master,18,3,18457,5,,3
214,31,Finance,Female,PhD,16,3,2847,3,33,3
215,48,,Female,PhD,5,3,3464,3,34,1
216,45,Operations,Male,Bachelor,15,3,21464,3,2,1
217,43,Marketing,Female,PhD,23,2,14714,1,58,1
218,51,HR,Female,PhD,11,2,14627,4,69,2
219,50,Finance,Female,PhD,18,3,15876,2,47,4
220,55,Sales,Female,PhD,4,3,1246,3,63,2
221,27,Sales,Female,High School,16,4,14993,4,18,4
222,36,Engineering,Male,,22,4,17190,3,66,5
223,46,Engineering,Male,,0,3,15840,3,81,5
224,22,Sales,Female,High School,24,4,7019,3,72,5
225,21,Engineering,Female,,23,,8735,4,75,2
226,32,HR,Female,Master,22,3,11650,3,4,3
227,25,Operations,Male,High School,9,4,23044,4,66,2
228,57,Engineering,Male,Master,14,3,24341,1,10,4
229,52,Marketing,Female,Master,,,3890,4,,4
230,29,,Male,PhD,20,2,10364,4,67,4
231,55,Finance,Male,Bachelor,20,3,17876,2,68,3
,39,HR,Female,PhD,10,4,18148,3,0,4
233,36,Finance,Male,Bachelor,12,,690,2,90,1
234,23,Finance,Male,Bachelor,4,4,22299,4,91,1
235,40,Marketing,Female,PhD,0,4,12968,3,62,4
236,44,HR,Male,PhD,23,3,11869,,28,3
,53,HR,Male,Bachelor,11,3,13329,,,5
238,44,HR,Female,PhD,10,,22790,2,11,1
239,31,HR,Male,Bachelor,16,3,13407,1,76,4
240,28,HR,Male,Master,3,3,2860,3,40,3
241,56,Marketing,Female,PhD,14,5,6167,3,1,4
242,58,,Female,Master,24,3,15584,4,36,4
243,40,Finance,Female,High School,8,3,1511,3,44,5
244,55,HR,Male,,20,3,9421,3,79,2
245,45,Engineering,Female,Master,19,3,1839,5,47,5
246,,Engineering,Male,Bachelor,18,4,17327,4,23,2
247,45,Finance,Female,,18,2,8993,5,98,1
248,49,,Male,PhD,,3,9221,3,21,3
249,38,Sales,Female,Bachelor,4,4,17967,2,99,4
250,38,Sales,Female,High School,9,3,24364,1,10,3
251,22,Engineering,Female,,16,2,10610,,57,4
,55,Operations,Female,High School,4,3,24029,2,45,
253,36,Operations,Male,Master,21,4,13044,3,28,2
254,56,Finance,Female,PhD,,1,4686,3,34,5
255,53,Sales,Female,PhD,6,4,17603,3,14,1
256,24,Engineering,Male,High School,8,4,12542,3,59,4
,53,Marketing,Female,PhD,2,,19023,2,94,3
,34,Sales,Male,PhD,14,5,14557,3,41,3
259,41,Engineering,Female,PhD,15,4,9247,3,42,3
260,40,Engineering,Female,Master,17,4,14246,5,79,
261,28,HR,Female,High School,13,4,6230,4,73,3
262,27,Marketing,Male,PhD,2,2,5702,5,48,2
263,23,HR,Female,Bachelor,11,2,22347,4,63,2
264,37,Finance,Female,Bachelor,8,3,16317,3,31,2
265,53,HR,Female,Bachelor,6,2,,2,63,3
266,,HR,Male,Bachelor,8,3,807,3,1,4
267,42,Sales,Male,Master,12,4,1736,3,23,3
268,42,Operations,Female,PhD,17,,11918,3,86,4
269,50,Engineering,Male,High School,4,,9050,3,65,3
270,58,Marketing,Female,PhD,12,4,16422,3,37,3
271,58,HR,Female,Master,3,4,7654,3,30,
272,28,Marketing,Female,Bachelor,1,3,0,3,25,3
,47,Operations,Female,Master,15,2,21200,2,28,3
274,47,Operations,Female,PhD,8,3,14140,4,66,1
275,54,HR,Female,High School,8,4,20306,2,77,4
276,41,Finance,Female,Master,5,3,4699,1,24,4
277,50,HR,Male,High School,10,3,,3,47,2
278,53,Sales,Male,Master,21,1,24795,3,64,
279,48,Engineering,Male,High School,23,4,16148,3,52,1
280,53,Finance,Male,High School,21,4,,2,66,2
281,25,HR,Male,,0,4,15177,3,89,1
,39,Marketing,Male,High School,3,5,8137,,17,4
,24,Finance,Male,Bachelor,12,4,1601,5,8,4
284,55,Finance,Female,PhD,22,,7670,5,37,4
285,37,HR,Female,PhD,12,5,21869,3,86,1
286,48,,Female,Bachelor,12,4,18839,3,20,3
287,50,Marketing,Female,Bachelor,1,3,6711,4,64,4
,49,Operations,Male,Master,8,1,6665,1,20,2
289,26,Finance,Male,Master,23,3,15749,3,26,3
290,55,Operations,Female,Master,7,3,992,3,69,1
291,57,Marketing,,PhD,6,3,1778,5,43,2
292,44,HR,Male,,3,,6696,1,99,3
293,49,Engineering,Female,High School,17,5,8748,3,27,3
,51,Finance,Female,High School,2,4,10922,4,44,2
295,55,Engineering,Female,Master,5,4,17125,3,16,2
296,53,Marketing,Female,High School,11,3,10373,1,39,
297,41,Finance,Male,PhD,11,1,2946,5,2,2
298,52,Operations,Female,,20,1,5509,,75,2
299,43,Sales,Female,,7,,6833,3,75,3
300,53,Engineering,Male,Bachelor,21,1,21361,2,65,3
,23,Finance,Male,Bachelor,21,1,7511,3,45,3
302,38,Engineering,Female,Bachelor,0,5,10227,3,85,4
303,45,Finance,Male,Bachelor,3,4,12227,1,86,
,,HR,Female,High School,20,3,19329,2,29,2
305,23,Operations,Female,Master,10,2,24894,4,68,1
306,44,Engineering,Male,High School,2,3,9616,2,8,4
307,52,Sales,,PhD,12,1,12477,2,84,1
308,42,Sales,Female,High School,24,5,11146,3,10,2
309,43,Marketing,Female,High School,16,3,8233,4,68,1
310,22,Finance,Female,PhD,21,,5776,1,98,3
311,47,Engineering,Male,Bachelor,21,3,14153,,90,3
312,22,Marketing,Male,Bachelor,9,1,8228,2,65,5
313,46,Engineering,Female,Bachelor,20,3,2380,,87,4
314,37,Finance,Male,Master,11,4,6389,1,30,3
315,53,Sales,Female,PhD,14,3,,4,32,3
316,29,HR,Female,PhD,20,2,8097,2,38,2
317,59,Sales,Female,High School,9,3,17545,1,93,2
318,49,Marketing,Female,Master,,3,8646,3,45,2
319,46,Operations,Female,Bachelor,12,4,20178,4,36,2
320,55,HR,Male,Master,4,3,1204,2,91,2
321,45,Marketing,,PhD,5,3,17953,3,59,2
322,44,Finance,Male,PhD,23,3,17088,1,30,3
323,33,,Male,High School,1,3,10274,3,10,5
324,27,Marketing,Female,High School,21,3,1484,3,86,3
325,56,Finance,Female,PhD,16,3,2025,3,1,
326,40,Sales,Female,Bachelor,3,3,11680,,,3
327,21,Operations,,Bachelor,13,4,13357,3,98,3
328,28,Finance,Female,Master,9,3,22495,2,1,3
329,36,Engineering,Male,PhD,2,5,5906,3,20,2
330,34,Finance,Female,PhD,24,3,4256,1,57,2
331,32,Finance,Female,Bachelor,2,5,16855,4,4,5
332,43,Operations,Male,Bachelor,14,4,18990,5,51,5
333,35,Engineering,Male,PhD,5,3,16381,5,44,1
334,48,Marketing,Female,High School,16,4,721,4,84,2
,54,Marketing,Male,PhD,11,2,5840,3,92,3
336,22,Finance,Female,PhD,21,5,16588,4,19,2
337,52,Engineering,Male,Bachelor,19,3,16266,2,60,3
338,43,Engineering,Male,Bachelor,23,1,16182,3,37,2
339,42,Operations,,High School,10,3,4975,3,,3
340,45,Sales,Male,High School,24,5,9382,3,24,0
341,42,Marketing,,Master,,1,13309,4,1,3
342,42,Operations,Male,PhD,5,3,7048,2,31,1
343,26,HR,Male,Bachelor,0,4,,3,25,3
344,35,Marketing,Male,High School,19,,18157,,69,5
345,57,Operations,Male,Master,22,3,19927,1,40,3
346,53,Marketing,Female,,15,2,18865,3,66,4
347,28,Sales,Female,Bachelor,14,1,19780,5,96,4
348,25,HR,Male,Bachelor,16,3,23330,3,0,5
349,59,Sales,Female,Master,7,3,11648,3,50,4
350,24,,Female,High School,11,5,10082,2,4,3
351,26,Finance,Female,Master,21,1,6182,3,12,4
352,52,Operations,Male,PhD,20,3,22666,4,18,1
353,50,HR,Female,PhD,,1,6098,3,11,
354,55,Sales,Male,Bachelor,14,2,9927,3,47,5
355,36,Marketing,Female,High School,8,3,8715,1,24,4
356,33,HR,Male,High School,1,3,12766,1,56,5
357,50,Operations,Male,PhD,4,3,10146,5,34,4
358,39,HR,,Master,5,5,13020,,75,4
359,37,Engineering,Female,Bachelor,6,3,9445,3,93,4
360,39,Marketing,Male,Master,20,5,4824,1,4,4
361,48,Operations,Female,Master,24,4,6859,3,97,3
362,46,Operations,Female,Master,0,3,7920,5,21,5
363,57,Finance,Female,High School,22,4,19458,3,76,4
364,46,Sales,Male,,6,,22357,,56,4
,43,Finance,Male,High School,19,1,3424,3,46,3
366,29,Operations,Female,PhD,24,4,8971,4,53,3
367,,Marketing,,Bachelor,11,1,12006,3,2,1
368,21,HR,Female,Bachelor,15,3,18037,4,52,5
369,21,HR,Male,Master,15,4,-1000,3,83,3
,54,Marketing,Male,PhD,10,1,20538,4,30,2
371,52,Operations,Female,PhD,20,2,,3,68,2
372,45,HR,Female,PhD,3,5,1224,2,87,4
373,21,HR,Female,Master,12,3,18854,3,32,4
374,36,HR,Female,Master,6,2,5806,2,71,4
,59,Sales,Female,Bachelor,3,3,,5,87,3
376,25,Sales,Female,High School,14,3,2695,4,49,3
377,42,,Male,PhD,18,3,24904,3,,3
378,49,Finance,Female,PhD,8,5,15610,3,15,1
379,23,Marketing,Male,High School,10,3,8526,2,75,4
380,32,Marketing,Female,PhD,7,3,12081,4,76,1
381,46,Marketing,Female,Master,,4,5815,3,38,3
382,36,Engineering,Male,Master,22,4,19354,2,88,3
383,57,,Male,PhD,24,2,3665,3,,3
384,42,Operations,Male,Master,23,,17272,,95,5
385,49,Operations,Male,Master,7,2,11710,3,87,1
386,34,Engineering,Female,PhD,12,3,19822,3,46,4
387,48,Operations,Male,Bachelor,21,3,9395,2,43,1
388,25,,Female,High School,3,3,23347,5,8,1
389,,Finance,Male,Master,7,5,20770,2,86,3
390,25,HR,Female,Bachelor,2,4,10661,2,49,1
391,32,Sales,Female,Master,8,,,2,76,4
392,36,Sales,Female,Master,1,3,4570,4,59,3
393,46,Engineering,Female,High School,1,3,22703,3,95,1
394,,Sales,Female,Master,12,3,10206,3,14,1
395,41,Marketing,Female,High School,14,3,17240,1,,3
396,59,Operations,Male,High School,22,4,24706,1,62,4
397,56,Marketing,Female,High School,,3,11579,3,68,3
398,53,Engineering,Male,Bachelor,3,3,5752,4,85,3
399,50,Marketing,Male,PhD,,4,20251,4,79,4
400,,Operations,Female,Bachelor,8,3,20583,1,,3
401,43,Finance,Male,PhD,22,2,6777,3,73,2
402,30,Engineering,Female,PhD,4,3,24184,5,,3
403,25,Finance,Male,High School,23,1,17700,3,81,3
404,150,HR,Female,Master,,5,6770,4,48,4
405,54,Finance,Male,High School,17,1,2362,2,17,3
406,51,HR,Female,Master,10,3,9330,5,6,5
407,30,HR,Female,PhD,14,3,21005,4,3,2
,39,Finance,Female,High School,21,5,20180,5,89,5
409,52,Engineering,Female,Master,8,2,2113,3,68,3
410,21,Operations,Male,Bachelor,16,2,11971,3,59,3
411,25,Marketing,Female,Master,11,1,22940,5,54,1
412,24,Marketing,Male,High School,6,2,14608,2,15,3
413,36,Operations,Male,Bachelor,,2,2613,3,98,4
414,44,HR,Male,Master,24,3,10006,4,89,4
415,36,HR,Female,Master,24,,17915,4,81,1
416,22,Engineering,Male,Master,9,1,10137,5,28,3
417,48,Sales,Male,Master,12,4,6131,2,22,1
418,52,Finance,Male,Master,18,3,19683,4,13,5
,47,,Female,Bachelor,10,3,,4,78,4
420,40,Marketing,Female,PhD,12,3,4356,1,,1
421,44,Engineering,Male,Bachelor,20,5,605,3,32,
422,,Finance,,Bachelor,7,2,14647,2,24,5
423,55,Engineering,Female,Bachelor,7,4,1989,3,20,3
424,,Finance,Male,PhD,3,4,4217,5,16,4
425,,Finance,Male,High School,14,1,23764,3,22,3
426,57,Operations,Female,PhD,10,5,3236,4,56,3
427,32,HR,Male,Bachelor,10,2,4162,5,80,
428,23,Engineering,Female,Master,0,1,14806,3,57,3
429,21,Engineering,Female,,16,4,14618,4,13,3
430,,Operations,Female,Bachelor,14,4,15600,3,,2
431,30,Marketing,Female,Master,19,3,5949,4,19,4
432,49,Marketing,Female,Bachelor,5,2,19945,2,29,
433,33,HR,Female,Master,23,3,18503,5,18,3
434,32,HR,Male,PhD,21,4,15974,2,52,4
435,51,Sales,Male,High School,24,3,18026,3,55,3
436,22,Operations,Female,High School,14,3,5860,4,76,3
437,55,Marketing,Female,PhD,8,1,15751,3,81,
438,43,Finance,Female,PhD,13,2,18910,3,22,4
439,,Engineering,Male,Bachelor,17,4,1379,3,61,2
440,46,HR,Female,Bachelor,16,3,14283,4,32,3
441,120,Engineering,Male,Bachelor,17,5,20890,2,17,5
442,49,Engineering,Female,Master,4,3,22964,,72,3
443,46,Sales,Female,Bachelor,19,4,15627,2,,3
,30,Marketing,Male,PhD,19,2,13055,3,31,2
445,46,HR,,High School,8,3,7535,2,,2
446,54,Engineering,Female,Master,10,2,17497,3,53,4
447,27,HR,Female,Bachelor,23,3,21773,3,16,4
448,24,Finance,Female,Master,21,3,2331,1,18,5
449,31,Sales,Male,Master,0,5,8814,3,90,4
450,,Finance,Male,Bachelor,17,3,9395,4,69,2
451,56,,Male,Master,5,2,14587,2,98,1
452,45,HR,,High School,1,1,6211,3,,5
453,41,Marketing,Male,PhD,14,2,11995,3,83,3
454,,Engineering,Male,PhD,20,3,19337,3,,3
455,30,Engineering,Female,High School,13,4,3640,4,67,5
456,57,Finance,Female,,4,5,8176,3,73,3
457,29,Sales,Male,Bachelor,5,1,16196,3,73,2
458,44,Operations,Female,Master,5,3,12735,1,87,4
459,55,Engineering,Female,High School,21,3,1441,3,84,5
460,55,Marketing,Male,Master,17,3,19581,3,10,1
461,56,Finance,Female,PhD,13,3,9581,1,90,4
462,38,Finance,Male,Master,9,3,20725,3,15,
463,59,Operations,Male,High School,13,3,2338,5,89,
464,52,Marketing,Female,PhD,12,2,4570,3,60,5
465,44,Sales,Male,Master,2,4,10346,3,93,5
466,43,Marketing,Male,Master,5,2,4983,5,,2
467,52,Sales,Male,PhD,7,3,,4,6,2
468,57,Marketing,Male,Bachelor,11,3,7416,3,15,1
469,,,Male,PhD,12,3,2084,4,98,3
470,33,HR,Male,Bachelor,,5,,4,15,
471,43,Finance,Male,High School,11,4,4086,3,39,3
472,45,Marketing,Male,High School,0,4,21950,3,11,1
473,55,Operations,Female,PhD,16,3,9490,3,34,3
474,50,Marketing,Female,PhD,15,4,5728,5,20,1
475,37,Engineering,Female,High School,10,3,6981,3,49,4
476,40,Finance,Male,Bachelor,12,4,7193,1,42,2
477,45,Engineering,Male,High School,17,3,12961,,99,3
478,42,Finance,Female,PhD,10,5,15192,3,16,4
479,33,Engineering,Female,High School,11,5,9943,1,31,4
480,39,,Female,PhD,,,10243,3,40,2
481,56,Marketing,Male,PhD,8,2,10772,,5,1
,32,HR,Female,High School,15,2,13292,4,87,4
483,39,Operations,Female,Bachelor,,4,21342,2,26,3
484,32,Engineering,Male,Master,2,2,23766,4,19,4
485,29,Sales,Female,High School,15,4,11426,3,24,3
486,27,HR,Male,Master,,3,7169,1,65,3
487,48,Engineering,Male,High School,24,,24291,5,8,3
488,34,Engineering,Male,Master,11,5,7969,3,91,4
489,51,HR,Female,Bachelor,10,3,11838,2,52,5
490,39,Marketing,Female,Bachelor,4,3,10365,3,60,1
491,36,Engineering,Male,High School,24,3,22903,4,37,3
492,25,Marketing,Female,PhD,17,,21218,3,2,1
493,55,HR,Female,Master,18,4,22663,2,83,3
494,32,Marketing,Female,PhD,22,2,10471,2,69,4
495,45,Finance,Female,PhD,22,5,17996,2,,3
496,41,Sales,Male,PhD,5,4,3262,4,54,5
497,56,Engineering,Female,Bachelor,21,3,14151,3,0,3
498,43,Operations,Male,High School,17,4,19622,,69,5
499,,Sales,Male,High School,5,3,13279,2,44,4
500,59,Marketing,Female,Bachelor,3,3,19881,3,97,2
501,59,Engineering,Male,Bachelor,11,5,5596,5,46,2
502,34,Marketing,Female,High School,18,1,,3,78,
503,51,Finance,Female,PhD,1,2,15045,5,25,2
504,25,HR,Male,Master,16,3,6030,3,13,3
505,,Engineering,Male,Master,10,3,14221,2,53,3
506,43,Finance,Male,Master,10,3,426,4,70,5
507,49,Finance,Male,PhD,20,4,5902,3,45,3
